strategy,symbol,direction,open_time,close_time,entry,sl,tp1,tp2,lot_size,pnl_pips,pnl_usd,outcome,duration_h,notes
S03_AsianRange,XAUUSD,SHORT,2026-03-20 03:40:00+00:00,2026-03-20 05:55:00+00:00,4732.5,4746.1975863498965,4689.35009765625,4660.0400390625,0.09,3938.6013353921003,354.15912018528905,trail,2.25,Asian Scalp Short | Range 4640.50000–4738.20020 | RSI=75.6 H1RSI=43.0
S03_AsianRange,XAUUSD,SHORT,2026-03-20 03:50:00+00:00,2026-03-20 05:55:00+00:00,4725.2001953125,4745.743670795638,4689.35009765625,4660.0400390625,0.06,3292.228672062416,197.32372032374496,trail,2.0833333333333335,Asian Scalp Short | Range 4640.50000–4738.20020 | RSI=67.1 H1RSI=43.0
S03_AsianRange,XAUUSD,LONG,2026-04-01 04:25:00+00:00,2026-04-01 05:35:00+00:00,4698.39990234375,4688.078993922672,4726.449951171875,4746.519921875,0.12,2481.869928543957,297.40439142527487,trail,1.1666666666666667,Asian Scalp Long | Range 4693.00000–4759.89990 | RSI=33.6 H1RSI=71.5
S03_AsianRange,XAUUSD,LONG,2026-04-01 07:40:00+00:00,2026-04-01 07:45:00+00:00,4760.793537066406,4749.176285671874,4826.7998046875,4893.69970703125,0.11,-1852.5909640626196,-204.17000604688815,sl,0.08333333333333333,London BO Long | Range 4693.00000–4759.89990 | Vol=1177 | Body=60%
S03_AsianRange,XAUUSD,SHORT,2026-04-07 04:50:00+00:00,2026-04-07 05:25:00+00:00,4686.2998046875,4696.108736108979,4666.699951171875,4651.519921875,0.13,2526.9130670658415,328.04369871855937,trail,0.5833333333333334,Asian Scalp Short | Range 4641.39990–4692.00000 | RSI=67.9 H1RSI=48.9
S03_AsianRange,XAUUSD,SHORT,2026-04-07 05:00:00+00:00,2026-04-07 05:25:00+00:00,4686.39990234375,4695.9676450697325,4666.699951171875,4651.519921875,0.14,2468.7904988647415,345.1406698410638,trail,0.4166666666666667,Asian Scalp Short | Range 4641.39990–4692.00000 | RSI=66.4 H1RSI=48.9
S03_AsianRange,XAUUSD,SHORT,2026-04-20 01:45:00+00:00,2026-04-20 09:35:00+00:00,4826.10009765625,4840.933604480849,4799.35009765625,4778.26015625,0.09,-1513.5799793349179,-136.5371981401426,sl,7.833333333333333,Asian Scalp Short | Range 4764.20020–4834.50000 | RSI=70.8 H1RSI=44.7
S03_AsianRange,XAUUSD,SHORT,2026-04-20 02:00:00+00:00,2026-04-20 09:35:00+00:00,4827.7998046875,4840.762595571265,4799.35009765625,4778.26015625,0.1,-1336.469322751509,-133.9969322751509,sl,7.583333333333333,Asian Scalp Short | Range 4764.20020–4834.50000 | RSI=67.6 H1RSI=44.7
S03_AsianRange,AUDUSD,LONG,2026-01-27 04:30:00+00:00,2026-01-27 06:55:00+00:00,0.6912761330604553,0.690825767865348,0.6920191645622253,0.6926369309425354,2.22,5.496169993315602,114.24497385160637,trail,2.4166666666666665,Asian Scalp Long | Range 0.69099–0.69305 | RSI=33.1 H1RSI=53.3
S03_AsianRange,AUDUSD,LONG,2026-01-27 05:25:00+00:00,2026-01-27 06:45:00+00:00,0.6910849809646606,0.6908572644780223,0.6920191645622253,0.6926369309425354,4.44,7.089035063567417,299.21315682239333,trail,1.3333333333333333,Asian Scalp Long | Range 0.69099–0.69305 | RSI=34.2 H1RSI=53.3
