strategy,symbol,direction,open_time,close_time,entry,sl,tp1,tp2,lot_size,pnl_pips,pnl_usd,outcome,duration_h,notes
S03_AsianRange,BTCUSD,LONG,2025-07-25 04:00:00+00:00,2025-07-26 10:00:00+00:00,115427.6015625,114691.9225715705,116827.6640625,117823.2515625,0.16,3763.171875,285.1055624999996,tp2,30.0,Asian Scalp Long | Range 115168.35156–118486.97656 | RSI=24.0
S03_AsianRange,BTCUSD,LONG,2025-07-25 07:00:00+00:00,2025-07-26 10:00:00+00:00,115384.5,114677.5747497004,116827.6640625,117823.2515625,0.17,3913.453125,312.50508984374966,tp2,27.0,Asian Scalp Long | Range 115168.35156–118486.97656 | RSI=29.0
S03_AsianRange,BTCUSD,SHORT,2025-08-11 05:00:00+00:00,2025-08-11 12:00:00+00:00,122132.25,122742.43117545596,120672.921875,119684.01875,0.21,2402.7578125,251.92207031249998,tp2,7.0,Asian Scalp Short | Range 119024.75000–122321.09375 | RSI=84.3
S03_AsianRange,BTCUSD,SHORT,2025-08-11 06:00:00+00:00,2025-08-11 12:00:00+00:00,121988.09375,122739.95528792338,120672.921875,119684.01875,0.17,2346.46875,199.15234375,tp2,6.0,Asian Scalp Short | Range 119024.75000–122321.09375 | RSI=81.6
S03_AsianRange,BTCUSD,SHORT,2025-08-11 07:00:00+00:00,2025-08-11 12:00:00+00:00,122257.4609375,122729.37991021457,120672.921875,119684.01875,0.28,2607.8984375,364.61578125,tp2,5.0,Asian Scalp Short | Range 119024.75000–122321.09375 | RSI=82.7
S03_AsianRange,BTCUSD,LONG,2025-08-18 07:00:00+00:00,2025-08-19 03:00:00+00:00,115287.3125,114681.36115867327,116328.6484375,117099.90625,0.23,0.0,-0.4025,be,20.0,Asian Scalp Long | Range 115043.21875–117614.07812 | RSI=25.0
S03_AsianRange,BTCUSD,SHORT,2025-09-09 07:00:00+00:00,2025-09-09 15:00:00+00:00,113026.8984375,113415.9585404311,112129.61328125,111544.5546875,0.36,1480.831250000003,265.9196250000005,tp2,8.0,Asian Scalp Short | Range 111154.51562–113104.71094 | RSI=67.1
S03_AsianRange,BTCUSD,SHORT,2025-09-17 07:00:00+00:00,2025-09-17 10:00:00+00:00,117215.6171875,117528.96592167094,116729.6953125,116426.521875,0.46,847.6140624999971,194.14623437499932,tp2,3.0,Asian Scalp Short | Range 116224.40625–117234.98438 | RSI=66.7
S03_AsianRange,BTCUSD,SHORT,2025-10-05 05:00:00+00:00,2025-10-05 10:00:00+00:00,125223.9296875,125995.3861225346,123882.68359375,122876.7671875,0.19,2311.1890625000087,219.23046093750082,tp2,5.0,Asian Scalp Short | Range 122206.15625–125559.21094 | RSI=79.4
S03_AsianRange,BTCUSD,LONG,2025-10-14 07:00:00+00:00,2025-10-14 10:00:00+00:00,112004.890625,111137.77706313286,113582.078125,114712.8953125,0.17,-945.7666868671367,-161.37533676741324,sl,3.0,Asian Scalp Long | Range 111697.38281–115466.77344 | RSI=29.1
